date,salesperson,region,product,units_sold,unit_price
2024-01-05,Alice,Lagos,Laptop,3,450000
2024-01-08,Bob,Abuja,Phone,5,120000
2024-01-10,alice,Lagos,Tablet,2,85000
2024-01-15,Charlie,Kano,Laptop,1,450000
2024-01-18,Bob,Abuja,Laptop,2,450000
2024-01-20,Diana,Lagos,Phone,8,120000
2024-01-22,Charlie,Kano,Tablet,4,85000
2024-02-01,Alice,Lagos,Laptop,2,450000
2024-02-05,Diana,Abuja,Phone,6,120000
2024-02-10,Bob,Lagos,Tablet,3,85000
2024-02-14,alice,Kano,Phone,4,120000
2024-02-18,Charlie,Abuja,Laptop,2,450000
2024-02-20,Diana,Lagos,Laptop,3,450000
2024-02-25,Bob,Kano,Phone,7,120000
2024-03-01,Alice,Lagos,Tablet,5,85000
2024-03-05,Diana,Abuja,Laptop,1,450000
2024-03-10,Charlie,Kano,Phone,3,120000
2024-03-15,Alice,Lagos,Phone,6,120000
2024-03-20,Bob,Abuja,Tablet,4,85000
2024-03-25,Diana,Lagos,Laptop,2,450000
